.text,00400912,,B19,T,B800000000,mov,mov_15,eax,0,1,5,N,,mov,C
.text,00400917,,B19,T,E854FDFFFF,call,call_70,_printf,,7,0,J,.CODE,call.CODE,C
.text,0040091C,,B19,T,BFFFFFFFFF,mov,mov_15,edi,0FFFFFFFFh,1,5,N,,mov,C
.text,00400921,,B19,T,E8DAFDFFFF,call,call_70,_exit,,7,0,J,.CODE,call.CODE,C
.text,00400926,,N,F_DATA,C745,,DATA,45C7h,45C7h,4,5,X,,DATA,C
.text,00400928,,N,F_DATA,FC00000000C604253D094000EBC60425,,DATA,2504C600000000FCh,2504C600000000FCh,0,0,X,,DATA,C
.text,00400938,,N,F_DATA,3E09400041,,DATA,3Eh,3Eh,4,1,X,,DATA,C
.text,0040093D,,N,F_DATA,90,,DATA,90h,90h,0,0,X,,DATA,C
.text,0040093E,,N,F_DATA,90,,DATA,90h,90h,0,0,X,,DATA,C
.text,0040093F,,N,F_DATA,8B,,DATA,8Bh,8Bh,1,4,X,,DATA,C
.text,00400940,,N,F_DATA,45FC48984883C001488D14C500000000488B45D04801D0488B00BA0A000000BE000000004889C7E864FDFFFF8845F78B45FC48980FB655F7885405F08345FC01837DFC03C60425940940007EC6042595,,DATA,1C083489848FC45h,1C083489848FC45h,0,0,X,,DATA,C
.text,00400990,,N,F_DATA,094000A9,,DATA,9,9,4,1,X,,DATA,C
.text,00400994,,N,F_DATA,90,,DATA,90h,90h,0,0,X,,DATA,C
.text,00400995,,N,F_DATA,90,,DATA,90h,90h,0,0,X,,DATA,C
.text,00400996,,N,F_DATA,488D,,DATA,8D48h,8D48h,1,4,X,,DATA,C
.text,00400998,,N,F_DATA,55E0488D45F04889D64889C7E8750000000FB645E13C53C60425BF09400075C6,,DATA,8948F0458D48E055h,8948F0458D48E055h,1,0,X,,DATA,C
.text,004009B8,,N,F_DATA,0425C00940000A,,DATA,4,4,1,5,X,,DATA,C
.text,004009BF,,N,F_DATA,90,,DATA,90h,90h,0,0,X,,DATA,C
.text,004009C0,,N,F_DATA,90,,DATA,90h,90h,0,0,X,,DATA,C
.text,004009C1,,N,F_DATA,BF6D0E4000E895,,DATA,0BFh,0BFh,1,5,X,,DATA,C
.text,004009C8,,N,F_DATA,FCFFFFC745F800000000C60425E2094000EBC60425E30940,,DATA,0F845C7FFFFFCh,0F845C7FFFFFCh,0,0,X,,DATA,C
.text,004009E0,,N,F_DATA,0022,,DATA,0,0,3,1,X,,DATA,C
.text,004009E2,,N,F_DATA,90,,DATA,90h,90h,0,0,X,,DATA,C
.text,004009E3,,N,F_DATA,90,,DATA,90h,90h,0,0,X,,DATA,C
.text,004009E4,,N,F_DATA,8B45F848,,DATA,48F8458Bh,48F8458Bh,1,4,X,,DATA,C
.text,004009E8,,N,F_DATA,980FB64405E00FB6C089C6BF760E4000B800000000E86EFCFFFF8345F801837DF803C604251A0A40007EC604251B0A40,,DATA,0B60FE00544B60F98h,0B60FE00544B60F98h,1,0,X,,DATA,C
.text,00400A18,,N,F_DATA,00C8,,DATA,0,0,1,1,X,,DATA,C
.text,00400A1A,,N,F_DATA,90,,DATA,90h,90h,0,0,X,,DATA,C
.text,00400A1B,,N,F_DATA,90,,DATA,90h,90h,0,0,X,,DATA,C
.text,00400A1C,,B20,T,C9,leave,leave_00,,,0,0,N,,leave,C
.text,00400A1D,,B20,T,C3,retn,retn_00,,,0,0,N,,retn,C
.text,00400A1E,,B21,T,55,push,push_10,rbp,,1,0,N,,push,C
.text,00400A1F,,B21,T,4889E5,mov,mov_11,rbp,rsp,1,1,N,,mov,C
.text,00400A22,,B21,T,4881ECC0000000,sub,sub_15,rsp,0C0h,1,5,N,,sub,C
.text,00400A29,,B21,T,4889BD48FFFFFF,mov,mov_41,[rbp-0B8h],rdi,4,1,N,,mov,C
.text,00400A30,,B21,T,4889B540FFFFFF,mov,mov_41,[rbp-0C0h],rsi,4,1,N,,mov,C
.text,00400A37,,B21,T,48C78570FFFFFF00000000,mov,mov_45,qword ptr [rbp-90h],0,4,5,N,,mov,C
.text,00400A42,,B21,T,488D9578FFFFFF,lea,lea_14,rdx,[rbp-88h],1,4,N,,lea,C
.text,00400A49,,B21,T,B800000000,mov,mov_15,eax,0,1,5,N,,mov,C
.text,00400A4E,,B21,T,B90B000000,mov,mov_15,ecx,0Bh,1,5,N,,mov,C
.text,00400A53,,B21,T,4889D7,mov,mov_11,rdi,rdx,1,1,N,,mov,C
.text,00400A56,,B21,T,F348AB,stosq,stosq_31,,,3,1,N,,stosq,C
.text,00400A59,,B21,T,4889FA,mov,mov_11,rdx,rdi,1,1,N,,mov,C
.text,00400A5C,,B21,T,8902,mov,mov_31,[rdx],eax,3,1,N,,mov,C
.text,00400A5E,,B21,T,4883C204,add,add_15,rdx,4,1,5,N,,add,C
.text,00400A62,,B21,T,C745FC00000000,mov,mov_45,dword ptr [rbp-4],0,4,5,N,,mov,C
.text,00400A69,,B21,T,488B8548FFFFFF,mov,mov_14,rax,[rbp-0B8h],1,4,N,,mov,C
.text,00400A70,,B21,T,4883C002,add,add_15,rax,2,1,5,N,,add,C
.text,00400A74,,B21,T,0FB600,movzx,movzx_13,eax,byte ptr [rax],1,3,N,,movzx,C
.text,00400A77,,B21,T,BACFFFFFFF,mov,mov_15,edx,0FFFFFFCFh,1,5,N,,mov,C
.text,00400A7C,,B21,T,0FAFC2,imul,imul_11,eax,edx,1,1,N,,imul,C
.text,00400A7F,,B21,T,83E83B,sub,sub_15,eax,3Bh,1,5,N,,sub,C
.text,00400A82,,B21,T,8845E0,mov,mov_41,[rbp-20h],al,4,1,N,,mov,C
.text,00400A85,,B21,T,488B8548FFFFFF,mov,mov_14,rax,[rbp-0B8h],1,4,N,,mov,C
